id,name,nameEn,distillery,distillerySlug,country,region,type,age,abv,priceYen,priceAsOf,priceSource,availability,rating,notes,affiliateId,cask,recommendedFor,flavor.peat,flavor.sweet,flavor.fruity,flavor.spicy,flavor.oak,flavor.smoky,flavor.complex,flavor.body
bushmills-black-bush,ブッシュミルズ ブラックブッシュ,Bushmills Black Bush,ブッシュミルズ蒸溜所,bushmills,ireland,ireland,blended,,40.0,3200,2026-08,editorial,common,83,モルト比率を高めシェリー樽熟成を加えた上位グレード。,,シェリー|バーボン,ストレート|ロック,0,4,3,1,3,0,3,3
bushmills-original,ブッシュミルズ オリジナル,Bushmills Original,ブッシュミルズ蒸溜所,bushmills,ireland,ireland,blended,,40.0,2400,2026-08,editorial,common,79,北アイルランドの老舗。軽やかで飲みやすいブレンデッド。,,バーボン,ハイボール|ロック,0,3,3,1,2,0,2,2
caol-ila-12,カリラ12年,Caol Ila 12,カリラ蒸溜所,caol-ila,scotland,islay,single-malt,12,43.0,6000,2026-08,editorial,common,84,アイラの中では軽やかな部類。オイリーで穏やかなスモーク。,,バーボン,ストレート|ハイボール,3,2,2,2,3,3,3,3
cardhu-12,カーデュ12年,Cardhu 12 Year Old,カーデュ蒸溜所,cardhu,scotland,speyside,single-malt,12,40.0,5000,2026-08,editorial,common,83,軽やかで蜂蜜のような甘さ。ジョニーウォーカーの心臓部でもある。,,アメリカンオーク,ハイボール|ロック,0,4,3,1,3,0,3,2
chichibu-the-first,秩父 ザ・ファースト10年,Chichibu The First 10,秩父蒸溜所,chichibu,japan,japan,single-malt,10,50.5,45000,2026-08,editorial,rare,91,創業から10年を記念したボトル。フルーティさと複雑さが凝縮。,,各種,ストレート,2,4,5,3,4,1,5,4
chivas-12,シーバスリーガル12年,Chivas Regal 12,シーバスブラザーズ,,scotland,speyside,blended,12,40.0,3000,2026-08,editorial,common,81,スペイサイドのモルトを軸にした滑らかなブレンデッド。,,各種,ロック|水割り,0,4,3,1,3,0,3,2
chivas-18,シーバスリーガル18年,Chivas Regal 18,シーバスブラザーズ,,scotland,speyside,blended,18,40.0,11000,2026-08,editorial,limited,85,18年熟成のブレンデッド。チョコレートとドライフルーツの深い甘さ、滑らかな余韻。,,シェリー|アメリカンオーク,ストレート|ロック,0,4,4,2,4,0,4,3
clan-campbell,クランキャンベル,Clan Campbell,ペルノ・リカール,,scotland,speyside,blended,,40.0,1300,2026-08,editorial,common,74,フランスで特に人気のあるライトなブレンデッド。,,各種,ハイボール,0,3,2,1,2,0,1,2
clynelish-14,クライヌリッシュ14年,Clynelish 14,クライヌリッシュ蒸溜所,clynelish,scotland,highland,single-malt,14,46.0,9000,2026-08,editorial,limited,87,ワックスのような独特の質感と蜂蜜の甘さ。玄人に人気。,,バーボン,ストレート,1,3,4,2,3,1,4,4
compass-box-great-king-street,コンパスボックス グレートキングストリート,Compass Box Great King Street,コンパスボックス,,scotland,highland,blended,,43.0,4500,2026-08,editorial,limited,84,インディペンデントボトラーによる高品質ブレンデッド。,,各種,ストレート|ロック,1,4,3,2,3,1,3,3
craigellachie-13,クライゲラヒ13年,Craigellachie 13 Year Old,クライゲラヒ蒸溜所,craigellachie,scotland,speyside,single-malt,13,46.0,7500,2026-08,editorial,limited,85,ワームタブ由来の硫黄香とオイリーな質感が個性的。,,バーボン,ストレート,1,3,3,3,3,1,4,4
cutty-sark,カティサーク,Cutty Sark,エドリントン,,scotland,lowland,blended,,40.0,1600,2026-08,editorial,common,77,軽やかでクセの少ないブレンデッド。カクテルベースにも。,,各種,ハイボール|カクテル,0,3,3,1,2,0,2,2
dalmore-12,ダルモア12年,The Dalmore 12,ダルモア蒸溜所,dalmore,scotland,highland,single-malt,12,40.0,7500,2026-08,editorial,common,85,オレンジピールとチョコレートを思わせる濃厚な甘さ。,,シェリー|バーボン,ストレート,0,4,3,2,4,0,4,3
dewars-white-label,デュワーズ ホワイトラベル,Dewar's White Label,バカルディ,,scotland,highland,blended,,40.0,1600,2026-08,editorial,common,78,二重熟成製法（ダブルエイジド）で滑らかさを高めたブレンデッド。,,各種,ハイボール,0,3,3,1,2,0,2,2
eagle-rare-10,イーグルレア10年,Eagle Rare 10,バッファロートレース蒸溜所,buffalo-trace,usa,kentucky,bourbon,10,45.0,7000,2026-08,editorial,limited,86,10年熟成のシングルバレルバーボン。チェリーとオーク、長い余韻。,,新樽,ストレート|ロック,0,5,3,3,4,0,4,4
elijah-craig-small-batch,エライジャクレイグ スモールバッチ,Elijah Craig Small Batch,ヘヴンヒル蒸溜所,heaven-hill,usa,kentucky,bourbon,,47.0,3500,2026-08,editorial,common,85,バーボン評論家から高評価を得続けるコスパの良い1本。,elijah-craig-small-batch,新樽,ストレート|ロック,0,4,3,3,4,0,4,4
evan-williams-black,エヴァン・ウィリアムス ブラックラベル,Evan Williams Black Label,ヘヴンヒル蒸溜所,heaven-hill,usa,kentucky,bourbon,,43.0,1800,2026-08,editorial,common,80,価格を超えた品質と評されるスタンダードバーボン。,,新樽,ロック|ハイボール,0,4,2,2,3,0,3,3
famous-grouse-smoky-black,フェイマス グラウス スモーキーブラック,Famous Grouse Smoky Black,エドリントン,,scotland,highland,blended,,40.0,2000,2026-08,editorial,common,79,アイラモルトをブレンドし軽いスモーク香を加えたバリエーション。,,各種,ハイボール,3,3,3,1,2,2,2,2
famous-grouse,フェイマス グラウス,The Famous Grouse,エドリントン,,scotland,highland,blended,,40.0,1800,2026-08,editorial,common,79,スコットランドで最も飲まれているブレンデッドのひとつ。,,各種,ハイボール|ロック,1,3,3,1,2,1,2,2
four-roses-single-barrel,フォアローゼス シングルバレル,Four Roses Single Barrel,フォアローゼス蒸溜所,four-roses,usa,kentucky,bourbon,,50.0,4800,2026-08,editorial,limited,86,単一樽から瓶詰め。スパイシーで厚みのある味わい。,,新樽,ストレート|ロック,0,4,3,4,4,0,4,4
four-roses-small-batch,フォアローゼス スモールバッチ,Four Roses Small Batch,フォアローゼス蒸溜所,four-roses,usa,kentucky,bourbon,,45.0,4000,2026-08,editorial,common,84,4種のレシピを組み合わせたスモールバッチ。フローラルでまろやかな口当たり。,,新樽,ロック|ハイボール,0,4,4,3,3,0,3,3
four-roses-yellow,フォアローゼス イエローラベル,Four Roses Yellow Label,フォアローゼス蒸溜所,four-roses,usa,kentucky,bourbon,,40.0,2600,2026-08,editorial,common,81,10種類のレシピをブレンド。軽やかでフルーティなバーボン。,,新樽,ロック|ハイボール,0,4,3,2,3,0,3,3
glendronach-12,グレンドロナック12年,GlenDronach 12,グレンドロナック蒸溜所,glendronach,scotland,highland,single-malt,12,43.0,7000,2026-08,editorial,common,85,濃厚なシェリー樽熟成。チョコレートとドライフルーツの甘み。,,シェリー,ストレート,0,5,4,2,4,0,4,3
glendronach-15,グレンドロナック15年 リバイバル,GlenDronach 15 Revival,グレンドロナック蒸溜所,glendronach,scotland,highland,single-malt,15,46.0,16000,2026-08,editorial,limited,89,シェリー樽熟成の代表格。ブラックチェリーとダークチョコレート、深い果実の甘さ。,,シェリー,ストレート,0,5,5,3,4,0,5,5
glenfarclas-12,グレンファークラス12年,Glenfarclas 12,グレンファークラス蒸溜所,glenfarclas,scotland,speyside,single-malt,12,43.0,4500,2026-08,editorial,common,83,値ごろなシェリー樽モルトの定番。ドライフルーツと蜂蜜、穏やかな甘さ。,,シェリー,ストレート|ロック,0,4,4,2,3,0,3,3
glenfarclas-15,グレンファークラス15年,Glenfarclas 15 Year Old,グレンファークラス蒸溜所,glenfarclas,scotland,speyside,single-malt,15,46.0,9000,2026-08,editorial,limited,87,家族経営蒸留所の看板ボトル。ナッツとドライフルーツの厚み。,,シェリー,ストレート,0,4,4,2,4,0,4,4
glenfiddich-12,グレンフィディック12年,Glenfiddich 12 Year Old,グレンフィディック蒸溜所,glenfiddich,scotland,speyside,single-malt,12,40.0,3500,2026-08,editorial,common,83,洋梨と蜂蜜のわかりやすい甘み。シングルモルト入門の定番。,glenfiddich-12,アメリカンオーク|スパニッシュオーク,ストレート|ロック|ハイボール,0,3,4,1,3,0,2,2
glenfiddich-15,グレンフィディック15年 ソレラリザーブ,Glenfiddich 15 Solera,グレンフィディック蒸溜所,glenfiddich,scotland,speyside,single-malt,15,40.0,9500,2026-08,editorial,common,86,ソレラシステムで熟成した3種の樽のブレンド。蜂蜜とスパイス、滑らかな口当たり。,,アメリカンオーク|シェリー|ニューオーク,ストレート|ロック,0,4,4,3,4,0,4,4
glenkinchie-12,グレンキンチー12年,Glenkinchie 12,グレンキンチー蒸溜所,glenkinchie,scotland,lowland,single-malt,12,43.0,5500,2026-08,editorial,common,81,麦芽の甘みが前に出る、ローランドらしい端正な味わい。,,バーボン,ストレート|水割り,0,3,3,1,2,0,3,2
glenlivet-12,ザ・グレンリベット12年,The Glenlivet 12 Year Old,グレンリベット蒸溜所,glenlivet,scotland,speyside,single-malt,12,40.0,4000,2026-08,editorial,common,83,パイナップルを思わせる明るい果実感。スペイサイドの教科書的な1本。,,アメリカンオーク,ストレート|ロック,0,3,4,1,3,0,2,2
glenlivet-founder-reserve,グレンリベット ファウンダーズリザーブ,Glenlivet Founder's Reserve,グレンリベット蒸溜所,glenlivet,scotland,speyside,single-malt,,40.0,3500,2026-08,editorial,common,80,創業200年を記念して造られた定番NAS。柑橘とバニラの爽やかな甘さで入門に最適。,,アメリカンオーク,ハイボール|ストレート,0,4,4,1,2,0,2,2
glenmorangie-10,グレンモーレンジィ オリジナル10年,Glenmorangie Original 10,グレンモーレンジィ蒸溜所,glenmorangie,scotland,highland,single-malt,10,40.0,4200,2026-08,editorial,common,84,背の高いポットスチルによる軽やかさ。柑橘とバニラが前に出る。,,アメリカンオーク,ストレート|ハイボール,0,3,4,1,3,0,3,2
glenmorangie-lasanta,グレンモーレンジィ ラサンタ,Glenmorangie Lasanta,グレンモーレンジィ蒸溜所,glenmorangie,scotland,highland,single-malt,12,43.0,6500,2026-08,editorial,common,85,シェリー樽で追加熟成（フィニッシュ）。レーズンのような甘さ。,,シェリー|バーボン,ストレート,0,4,4,2,3,0,4,3
glenmorangie-quinta-ruban,グレンモーレンジィ キンタルーベン,Glenmorangie Quinta Ruban 14,グレンモーレンジィ蒸溜所,glenmorangie,scotland,highland,single-malt,14,46.0,8000,2026-08,editorial,common,87,ポート樽で追加熟成したリッチな甘さ。ダークチョコレートとラズベリーの果実感。,,ポートワイン樽,ストレート|ロック,0,5,4,2,3,0,4,4
glenrothes-vintage,グレンロセス ヴィンテージ,The Glenrothes Vintage,グレンロセス蒸溜所,glenrothes,scotland,speyside,single-malt,,40.0,8500,2026-08,editorial,limited,85,収穫年を表記するヴィンテージボトリング。シェリー由来の厚み。,,シェリー,ストレート,0,4,4,2,4,0,4,3
grants-triple-wood,グランツ トリプルウッド,Grant's Triple Wood,ウィリアム・グラント&サンズ,glenfiddich,scotland,speyside,blended,,40.0,1800,2026-08,editorial,common,80,3種の樽で個別熟成した原酒をブレンド。バニラの甘さが立つ。,,バーボン|シェリー|新樽,ハイボール|ロック,0,4,3,1,3,0,3,2
green-spot,グリーンスポット,Green Spot,ミドルトン蒸溜所,midleton,ireland,ireland,single-malt,,40.0,6500,2026-08,editorial,limited,87,シングルポットスチルの代表格。フルーティで爽やかな酸味。,,シェリー|バーボン,ストレート,0,4,4,2,3,0,4,3
hakushu-12,白州12年,Hakushu 12 Year Old,白州蒸溜所,hakushu,japan,japan,single-malt,12,43.0,14800,2026-08,editorial,limited,86,青りんごとミントを思わせる爽やかさ。ごく軽いスモークが後ろに隠れている。,hakushu-12,アメリカンオーク,ハイボール|水割り,1,3,4,1,2,0,3,2
hakushu-distillers-reserve,白州 ディスティラーズリザーブ,Hakushu Distiller's Reserve,白州蒸溜所,hakushu,japan,japan,single-malt,,43.0,5500,2026-08,editorial,common,83,熟成年数非表記ながら白州らしい爽やかさを手頃に楽しめる定番。,,アメリカンオーク,ハイボール,1,3,4,1,2,1,3,2
hankey-bannister,ハンキー バニスター,Hankey Bannister,インバー・ハウス,,scotland,highland,blended,,40.0,1800,2026-08,editorial,common,78,18世紀創業の老舗ブランドによる飲みやすいブレンデッド。,,各種,ハイボール|ロック,0,3,3,1,2,0,2,2
hibiki-21,響21年,Hibiki 21 Year Old,サントリー,,japan,japan,blended,21,43.0,120000,2026-08,editorial,rare,93,国際的な賞を多数受賞した長期熟成ブレンデッド。芳醇で滑らか。,,ミズナラ|シェリー,ストレート,1,5,4,3,4,1,5,3
hibiki-harmony,響 JAPANESE HARMONY,Hibiki Japanese Harmony,サントリー,,japan,japan,blended,,43.0,11000,2026-08,editorial,limited,85,複数の原酒を重ねたブレンデッド。蜂蜜とオレンジピールの甘さがなめらかに広がる。,,ミズナラ|シェリー|アメリカンオーク,ストレート|ハイボール,1,4,4,2,3,1,4,3
highland-park-12,ハイランドパーク12年,Highland Park 12 Viking Honour,ハイランドパーク蒸溜所,highland-park,scotland,island,single-malt,12,40.0,5000,2026-08,editorial,common,86,ヘザーハニーの甘さとほのかなピート。甘さとスモークの均衡が絶妙。,,シェリー,ストレート|ロック,2,4,3,2,3,2,4,3
highland-park-18,ハイランドパーク18年,Highland Park 18,ハイランドパーク蒸溜所,highland-park,scotland,island,single-malt,18,43.0,20000,2026-08,editorial,rare,91,「世界最高のオールラウンダー」と評されることもある名品。,,シェリー,ストレート,3,4,3,2,4,3,5,4
indri-trini,インドリ トリニ,Indri Trini,インドリ蒸溜所,,india,india,single-malt,,46.0,7000,2026-08,editorial,limited,87,3種の樽をブレンドした近年評価急上昇中のインド産モルト。,,バーボン|シェリー|ワイン樽,ストレート,0,4,4,3,4,0,4,4
jack-daniels,ジャックダニエル Old No.7,Jack Daniels Old No.7,ジャックダニエル蒸溜所,jack-daniels,usa,tennessee,tennessee,,40.0,2600,2026-08,editorial,common,79,メイプル炭で濾過する製法。バナナのような甘い香り。,,新樽,コーラ割り|ハイボール,0,4,2,2,4,1,2,3
jameson,ジェムソン,Jameson,ミドルトン蒸溜所,midleton,ireland,ireland,blended,,40.0,2200,2026-08,editorial,common,80,3回蒸留の軽やかさ。クセがなく食中でも飲みやすい。,jameson,バーボン|シェリー,ハイボール|ロック,0,3,3,1,2,0,2,2
jim-beam-white,ジムビーム ホワイト,Jim Beam White Label,ジムビーム蒸溜所,,usa,kentucky,bourbon,4,40.0,1600,2026-08,editorial,common,76,世界で最も売れているバーボンのひとつ。手頃で軽やか。,,新樽,ハイボール|カクテル,0,3,2,2,3,0,2,2
johnnie-walker-black,ジョニーウォーカー ブラックラベル12年,Johnnie Walker Black Label 12,ディアジオ,,scotland,highland,blended,12,40.0,3200,2026-08,editorial,common,83,40種以上の原酒をブレンド。ほのかなスモークが全体を引き締める。,,各種,ハイボール|ロック,2,3,3,2,3,2,3,3
johnnie-walker-blue,ジョニーウォーカー ブルーラベル,Johnnie Walker Blue Label,ディアジオ,,scotland,highland,blended,,40.0,25000,2026-08,editorial,rare,88,稀少原酒をブレンドした頂点。スモーキーで滑らか、蜂蜜とドライフルーツの深い甘さ。,,アメリカンオーク|シェリー,ストレート|ロック,2,4,3,3,4,2,5,4
johnnie-walker-double-black,ジョニーウォーカー ダブルブラック,Johnnie Walker Double Black,ディアジオ,,scotland,highland,blended,,40.0,3800,2026-08,editorial,common,83,ブラックラベルよりピート感を強めた濃厚な仕上がり。,,各種,ハイボール|ロック,3,3,3,2,3,3,3,3
johnnie-walker-red,ジョニーウォーカー レッドラベル,Johnnie Walker Red Label,ディアジオ,,scotland,highland,blended,,40.0,1800,2026-08,editorial,common,76,世界で最も売れているスコッチのひとつ。スパイシーで力強い。,,各種,ハイボール,1,2,2,2,2,1,2,2
jura-10,ジュラ10年,Jura 10,ジュラ蒸溜所,jura,scotland,island,single-malt,10,40.0,4500,2026-08,editorial,common,81,軽やかで穏やかな酒質。塩気とほのかな甘さ。,,バーボン,ストレート|ハイボール,1,3,3,1,3,1,3,2
kakubin,サントリー角瓶,Suntory Kakubin,サントリー,,japan,japan,blended,,40.0,1500,2026-08,editorial,common,78,ハイボールの定番として不動の地位を築くブレンデッド。,kakubin,各種,ハイボール,0,3,2,1,2,0,2,2
kavalan-classic,カバラン クラシック,Kavalan Classic,カバラン蒸溜所,kavalan,taiwan,taiwan,single-malt,,40.0,6000,2026-08,editorial,common,84,亜熱帯の急速熟成。マンゴーやバナナのトロピカルな甘さ。,,アメリカンオーク,ストレート|ロック,0,5,5,2,4,0,3,3
kavalan-concertmaster,カバラン コンサートマスター,Kavalan Concertmaster,カバラン蒸溜所,kavalan,taiwan,taiwan,single-malt,,40.0,7500,2026-08,editorial,limited,85,ポートワイン樽で追加熟成。ベリー系の甘い香りが特徴。,,ポートワイン樽,ストレート,0,5,5,2,3,0,4,3
kavalan-solist-sherry,カバラン ソリスト シェリー,Kavalan Solist Sherry Cask,カバラン蒸溜所,kavalan,taiwan,taiwan,single-malt,,58.6,18000,2026-08,editorial,rare,90,シェリー樽シングルカスク。数々の国際コンペで最高賞を獲得。,,シェリー,ストレート,0,5,5,3,4,0,5,5
kilchoman-machir-bay,キルホーマン マッキルベイ,Kilchoman Machir Bay,キルホーマン蒸溜所,kilchoman,scotland,islay,single-malt,,46.0,7000,2026-08,editorial,common,85,ファーム蒸留所の若いピートモルト。柑橘と海藻の香りがフレッシュに広がる。,,バーボン|シェリー,ストレート,5,2,2,3,3,5,4,4
knob-creek,ノブクリーク,Knob Creek,ジムビーム蒸溜所,,usa,kentucky,bourbon,9,50.0,3800,2026-08,editorial,common,85,9年熟成とカスクストレングス寄りの度数で濃厚な仕上がり。,,新樽,ストレート|ロック,0,4,2,4,4,0,4,4
lagavulin-16,ラガヴーリン16年,Lagavulin 16 Year Old,ラガヴーリン蒸溜所,lagavulin,scotland,islay,single-malt,16,43.0,9000,2026-08,editorial,limited,90,16年の熟成でピートが丸くなり、甘みと一体化する。アイラの完成形。,,シェリー|アメリカンオーク,ストレート,5,3,2,3,4,5,5,5
lagavulin-8,ラガヴーリン8年,Lagavulin 8,ラガヴーリン蒸溜所,lagavulin,scotland,islay,single-malt,8,48.0,6500,2026-08,editorial,common,85,16年より若い分ピートが鋭くドライ。塩気が立ち、潮とスモークが際立つ。,,バーボン,ストレート,5,2,1,3,3,5,4,4
laphroaig-10,ラフロイグ10年,Laphroaig 10 Year Old,ラフロイグ蒸溜所,laphroaig,scotland,islay,single-malt,10,40.0,4500,2026-08,editorial,common,86,強烈なピート香で知られる。好き嫌いが最も分かれる1本。,,アメリカンオーク,ストレート|ロック,5,1,1,3,3,5,4,4
laphroaig-quarter-cask,ラフロイグ クォーターカスク,Laphroaig Quarter Cask,ラフロイグ蒸溜所,laphroaig,scotland,islay,single-malt,,48.0,5500,2026-08,editorial,common,87,小樽で熟成させ樽との接触を増やした濃厚な仕上がり。,,アメリカンオーク,ストレート|ロック,5,2,2,3,4,5,4,4
macallan-12,ザ・マッカラン12年 シェリーオーク,The Macallan 12 Sherry Oak,マッカラン蒸溜所,macallan,scotland,speyside,single-malt,12,40.0,11000,2026-08,editorial,limited,88,シェリー樽100%熟成。ドライフルーツとチョコレートの濃厚な甘さ。,,シェリー,ストレート,0,5,4,2,4,0,4,4
macallan-double-cask-12,マッカラン ダブルカスク12年,Macallan Double Cask 12,マッカラン蒸溜所,macallan,scotland,speyside,single-malt,12,40.0,12000,2026-08,editorial,limited,87,アメリカンオークとシェリー樽の2系統で熟成。バニラとオレンジの皮、クリーミーな甘さ。,,アメリカンオーク|シェリー,ストレート|ロック,0,5,4,2,4,0,4,4
makers-mark,メーカーズマーク,Makers Mark,メーカーズマーク蒸溜所,makers-mark,usa,kentucky,bourbon,,45.0,2800,2026-08,editorial,common,83,小麦を使ったソフトなバーボン。バニラと蜂蜜の甘さが強い。,makers-mark,新樽,ロック|ハイボール,0,5,3,2,4,0,3,3
mars-iwai,マルス iwai,Mars Iwai,マルス信州蒸溜所,mars-shinshu,japan,japan,blended,,40.0,1800,2026-08,editorial,common,79,手頃な価格ながら樽由来の甘みがしっかりある家庭向けブレンデッド。,,各種,ハイボール,0,4,3,2,3,0,2,2
mars-komagatake,駒ヶ岳 シングルモルト,Mars Komagatake Single Malt,マルス信州蒸溜所,mars-shinshu,japan,japan,single-malt,,50.0,8000,2026-08,editorial,limited,84,標高800mの蒸留所で造られる高地熟成モルト。フルーティで複雑。,,各種,ストレート,1,4,4,2,3,1,3,3
mars-tsunuki,マルス 津貫,Mars Tsunuki Single Malt,マルス津貫蒸溜所,mars-tsunuki,japan,japan,single-malt,,50.0,12000,2026-08,editorial,limited,86,亜熱帯の津貫で急速熟成したモルト。樽由来の濃い甘さと柑橘の香りが折り重なる。,,バーボン|シェリー,ストレート,0,4,4,3,4,0,4,4
miyagikyo,宮城峡,Nikka Miyagikyo Single Malt,宮城峡蒸溜所,miyagikyo,japan,japan,single-malt,,45.0,5500,2026-08,editorial,common,84,余市と対をなす華やかさ。レーズンや洋梨のような果実感が中心。,,シェリー|アメリカンオーク,ストレート|水割り,0,4,4,2,3,0,3,3
monkey-shoulder,モンキーショルダー,Monkey Shoulder,ウィリアム・グラント&サンズ,glenfiddich,scotland,speyside,blended-malt,,40.0,3300,2026-08,editorial,common,83,3つのモルト原酒のみをブレンドしたブレンデッドモルト。カクテル向け。,,バーボン,ロック|カクテル,0,4,3,1,3,0,3,3
