id,name,nameEn,distillery,distillerySlug,country,region,type,age,abv,priceYen,priceAsOf,priceSource,availability,rating,notes,affiliateId,cask,recommendedFor,flavor.peat,flavor.sweet,flavor.fruity,flavor.spicy,flavor.oak,flavor.smoky,flavor.complex,flavor.body
ballantines-finest,バランタイン ファイネスト,Ballantine's Finest,バランタイン,,scotland,highland,blended,,40.0,1500,2026-08,editorial,common,78,"40種以上の原酒を使いながら1,500円前後。ハイボールの定番。",,各種,ハイボール,1,3,3,1,2,1,2,2
balvenie-12-doublewood,ザ・バルヴェニー ダブルウッド12年,Balvenie DoubleWood 12,バルヴェニー蒸溜所,balvenie,scotland,speyside,single-malt,12,40.0,7000,2026-08,editorial,common,86,2種類の樽で熟成させる製法。蜂蜜とシナモンが重なる。,,アメリカンオーク|シェリー,ストレート,0,4,4,2,4,0,4,3
balvenie-14-caribbean-cask,バルヴェニー14年 カリビアンカスク,Balvenie 14 Caribbean Cask,バルヴェニー蒸溜所,balvenie,scotland,speyside,single-malt,14,43.0,10000,2026-08,editorial,limited,86,カリブのラム樽でフィニッシュ。バナナや砂糖きびのトロピカルな甘さが広がる。,,ラム樽,ストレート|ロック,0,5,4,2,3,0,3,4
basil-hayden,ベイシルヘイデン,Basil Hayden's,ジムビーム蒸溜所,jim-beam,usa,kentucky,bourbon,,40,4000,2026-08,editorial,common,82,スモールバッチの先駆け。ライ麦の胡椒感と蜂蜜の甘さの軽快なバランス。,,新樽,ロック|ストレート,0,3,3,4,4,0,3,3
benriach-10,ベンリアック10年,Benriach 10 Year Old,ベンリアック蒸溜所,benriach,scotland,speyside,single-malt,10,43,5500,2026-08,editorial,common,83,トリプルディスティルドの滑らかさ。洋梨やメロン、スパイスのバランス。,,バーボン|シェリー,ストレート|ハイボール,0,4,4,2,3,0,3,3
benromach-10,ベンロマック10年,Benromach 10 Year Old,ベンロマック蒸溜所,benromach,scotland,speyside,single-malt,10,43,5800,2026-08,editorial,common,83,ほのかなピートと麦芽の甘み。昔ながらのスモーキーなスペイサイド。,,バーボン|シェリー,ストレート|ロック,2,3,3,2,3,2,4,3
black-nikka-clear,ブラックニッカ クリアブレンド,Black Nikka Clear Blend,ニッカウヰスキー,,japan,japan,blended,,37.0,1000,2026-08,editorial,common,74,国産ブレンデッドの中でも特に手頃な価格帯。ハイボール向け。,,各種,ハイボール,0,3,2,1,2,0,1,2
black-white,ブラック&ホワイト,Black & White,ディアジオ,,scotland,highland,blended,,40.0,1600,2026-08,editorial,common,76,犬のラベルで知られる歴史あるブレンデッド。飲みやすい。,,各種,ハイボール,1,3,2,1,2,1,2,2
bladnoch-10,ブラドノック10年,Bladnoch 10 Year Old,ブラドノック蒸溜所,bladnoch,scotland,lowland,single-malt,10,46.7,8500,2026-08,editorial,limited,83,ローランドらしい軽やかさと花の香り。リンゴとクリーム、蜂蜜の優しさ。,,バーボン,ストレート,0,3,3,2,3,0,3,2
blantons,ブラントン シングルバレル,Blanton's Single Barrel,バッファロートレース蒸溜所,buffalo-trace,usa,kentucky,bourbon,,46.5,9500,2026-08,editorial,rare,86,世界初のシングルバレルバーボン。バニラとオレンジ、スパイスの濃厚な味わい。,,新樽,ストレート|ロック,0,4,3,4,5,0,4,4
bowmore-12,ボウモア12年,Bowmore 12 Year Old,ボウモア蒸溜所,bowmore,scotland,islay,single-malt,12,40.0,4500,2026-08,editorial,common,84,アイラの中では穏やかなピート。レモンと蜂蜜が寄り添う。,,シェリー|アメリカンオーク,ストレート|ハイボール,3,3,3,2,3,3,4,3
bowmore-15,ボウモア15年,Bowmore 15,ボウモア蒸溜所,bowmore,scotland,islay,single-malt,15,43.0,9500,2026-08,editorial,limited,86,シェリー樽で追加熟成。ピートと甘さのバランスが円熟している。,,シェリー,ストレート,3,4,3,2,4,3,4,4
bruichladdich-classic-laddie,ブルックラディ クラシックラディ,Bruichladdich Classic Laddie,ブルックラディ蒸溜所,bruichladdich,scotland,islay,single-malt,,50.0,6500,2026-08,editorial,common,83,ノンピート方針の看板ボトル。フルーティで軽やかな酒質。,,バーボン,ストレート|ロック,0,4,4,1,3,0,3,3
buffalo-trace,バッファロートレース,Buffalo Trace,バッファロートレース蒸溜所,buffalo-trace,usa,kentucky,bourbon,,45.0,3800,2026-08,editorial,limited,85,バランスの良さで評価が高い。バニラとオレンジピール。,,新樽,ストレート|ロック,0,4,3,3,4,0,4,4
bulleit-bourbon,バレット バーボン,Bulleit Bourbon,フォアローゼス蒸溜所（委託）,four-roses,usa,kentucky,bourbon,,45.0,3200,2026-08,editorial,common,83,高ライ麦比率のマッシュビル。スパイシーでドライな味わい。,,新樽,ロック|カクテル,0,3,2,4,4,0,3,4
bunnahabhain-12,ブナハーブン12年,Bunnahabhain 12,ブナハーブン蒸溜所,bunnahabhain,scotland,islay,single-malt,12,46.3,6500,2026-08,editorial,common,85,アイラ島にあってピートが控えめなモルト。ナッツとシェリー、麦の甘みが中心。,,シェリー|アメリカンオーク,ストレート|ロック,1,4,4,2,3,1,4,3
bunnahabhain-18,ブナハーブン18年,Bunnahabhain 18 Year Old,ブナハーブン蒸溜所,bunnahabhain,scotland,islay,single-malt,18,46.3,17000,2026-08,editorial,rare,89,アイラとは思えないノンピートの深いモルト。シェリーの甘さと海塩が繊細。,,シェリー|バーボン,ストレート,0,4,4,3,4,0,5,4
bushmills-10,ブッシュミルズ10年,Bushmills 10 Year Old,ブッシュミルズ蒸溜所,bushmills,ireland,ireland,single-malt,10,40,4800,2026-08,editorial,common,82,1784年創業の歴史ある蒸溜所。蜂蜜とバニラ、フルーティな甘さ。,,バーボン|シェリー,ストレート|ハイボール,0,4,4,2,3,0,3,3
bushmills-black-bush,ブッシュミルズ ブラックブッシュ,Bushmills Black Bush,ブッシュミルズ蒸溜所,bushmills,ireland,ireland,blended,,40.0,3200,2026-08,editorial,common,83,モルト比率を高めシェリー樽熟成を加えた上位グレード。,,シェリー|バーボン,ストレート|ロック,0,4,3,1,3,0,3,3
bushmills-original,ブッシュミルズ オリジナル,Bushmills Original,ブッシュミルズ蒸溜所,bushmills,ireland,ireland,blended,,40.0,2400,2026-08,editorial,common,79,北アイルランドの老舗。軽やかで飲みやすいブレンデッド。,,バーボン,ハイボール|ロック,0,3,3,1,2,0,2,2
caol-ila-12,カリラ12年,Caol Ila 12,カリラ蒸溜所,caol-ila,scotland,islay,single-malt,12,43.0,6000,2026-08,editorial,common,84,アイラの中では軽やかな部類。オイリーで穏やかなスモーク。,,バーボン,ストレート|ハイボール,3,2,2,2,3,3,3,3
caol-ila-18,カリラ18年,Caol Ila 18 Year Old,カリラ蒸溜所,caol-ila,scotland,islay,single-malt,18,43,13000,2026-08,editorial,limited,87,18年熟成で丸みを帯びたカリラ。レモンと潮、スモークが上品に溶け合う。,,バーボン|シェリー,ストレート,4,3,3,2,4,4,4,4
cardhu-12,カーデュ12年,Cardhu 12 Year Old,カーデュ蒸溜所,cardhu,scotland,speyside,single-malt,12,40.0,5000,2026-08,editorial,common,83,軽やかで蜂蜜のような甘さ。ジョニーウォーカーの心臓部でもある。,,アメリカンオーク,ハイボール|ロック,0,4,3,1,3,0,3,2
chichibu-the-first,秩父 ザ・ファースト10年,Chichibu The First 10,秩父蒸溜所,chichibu,japan,japan,single-malt,10,50.5,45000,2026-08,editorial,rare,91,創業から10年を記念したボトル。フルーティさと複雑さが凝縮。,,各種,ストレート,2,4,5,3,4,1,5,4
chivas-12,シーバスリーガル12年,Chivas Regal 12,シーバスブラザーズ,,scotland,speyside,blended,12,40.0,3000,2026-08,editorial,common,81,スペイサイドのモルトを軸にした滑らかなブレンデッド。,,各種,ロック|水割り,0,4,3,1,3,0,3,2
chivas-18,シーバスリーガル18年,Chivas Regal 18,シーバスブラザーズ,,scotland,speyside,blended,18,40.0,11000,2026-08,editorial,limited,85,18年熟成のブレンデッド。チョコレートとドライフルーツの深い甘さ、滑らかな余韻。,,シェリー|アメリカンオーク,ストレート|ロック,0,4,4,2,4,0,4,3
clan-campbell,クランキャンベル,Clan Campbell,ペルノ・リカール,,scotland,speyside,blended,,40.0,1300,2026-08,editorial,common,74,フランスで特に人気のあるライトなブレンデッド。,,各種,ハイボール,0,3,2,1,2,0,1,2
clynelish-14,クライヌリッシュ14年,Clynelish 14,クライヌリッシュ蒸溜所,clynelish,scotland,highland,single-malt,14,46.0,9000,2026-08,editorial,limited,87,ワックスのような独特の質感と蜂蜜の甘さ。玄人に人気。,,バーボン,ストレート,1,3,4,2,3,1,4,4
colonel-eh-taylor,カーネル・E・H・テイラー スモールバッチ,Colonel E.H. Taylor Small Batch,バッファロートレース蒸溜所,buffalo-trace,usa,kentucky,bourbon,,50,9000,2026-08,editorial,rare,86,歴史的蒸溜所の復刻ブランド。バニラとキャラメル、胡椒の力強いバランス。,,新樽,ストレート|ロック,0,4,3,4,5,0,4,4
compass-box-great-king-street,コンパスボックス グレートキングストリート,Compass Box Great King Street,コンパスボックス,,scotland,highland,blended,,43.0,4500,2026-08,editorial,limited,84,インディペンデントボトラーによる高品質ブレンデッド。,,各種,ストレート|ロック,1,4,3,2,3,1,3,3
connemara-12,コネマーラ12年,Connemara 12 Year Old,クーリー蒸溜所,cooley,ireland,ireland,single-malt,12,40,7000,2026-08,editorial,limited,83,アイリッシュで唯一のピーテッドモルト。穏やかなスモークと草の香り。,,バーボン,ストレート|ロック,3,3,2,3,3,3,3,3
craigellachie-13,クライゲラヒ13年,Craigellachie 13 Year Old,クライゲラヒ蒸溜所,craigellachie,scotland,speyside,single-malt,13,46.0,7500,2026-08,editorial,limited,85,ワームタブ由来の硫黄香とオイリーな質感が個性的。,,バーボン,ストレート,1,3,3,3,3,1,4,4
cutty-sark,カティサーク,Cutty Sark,エドリントン,,scotland,lowland,blended,,40.0,1600,2026-08,editorial,common,77,軽やかでクセの少ないブレンデッド。カクテルベースにも。,,各種,ハイボール|カクテル,0,3,3,1,2,0,2,2
dalmore-12,ダルモア12年,The Dalmore 12,ダルモア蒸溜所,dalmore,scotland,highland,single-malt,12,40.0,7500,2026-08,editorial,common,85,オレンジピールとチョコレートを思わせる濃厚な甘さ。,,シェリー|バーボン,ストレート,0,4,3,2,4,0,4,3
dalmore-15,ダルモア15年,Dalmore 15 Year Old,ダルモア蒸溜所,dalmore,scotland,highland,single-malt,15,40,12000,2026-08,editorial,limited,86,シェリー樽熟成のリッチな甘さ。オレンジマーマレードとシナモンの香り。,,シェリー|バーボン,ストレート|ロック,0,4,4,3,4,0,4,4
deanston-12,ディーンストン12年,Deanston 12 Year Old,ディーンストン蒸溜所,deanston,scotland,highland,single-malt,12,46.3,5500,2026-08,editorial,common,84,無濾過・無着色のバーボン樽熟成。蜂蜜漬けレモンとバニラの香り。,,バーボン,ストレート|ロック,0,4,4,2,3,0,3,3
dewars-white-label,デュワーズ ホワイトラベル,Dewar's White Label,バカルディ,,scotland,highland,blended,,40.0,1600,2026-08,editorial,common,78,二重熟成製法（ダブルエイジド）で滑らかさを高めたブレンデッド。,,各種,ハイボール,0,3,3,1,2,0,2,2
eagle-rare-10,イーグルレア10年,Eagle Rare 10,バッファロートレース蒸溜所,buffalo-trace,usa,kentucky,bourbon,10,45.0,7000,2026-08,editorial,limited,86,10年熟成のシングルバレルバーボン。チェリーとオーク、長い余韻。,,新樽,ストレート|ロック,0,5,3,3,4,0,4,4
edradour-10,エドラダワー10年,Edradour 10 Year Old,エドラダワー蒸溜所,edradour,scotland,highland,single-malt,10,40,6200,2026-08,editorial,common,83,最小規模の蒸溜所らしい濃厚な味わい。フルーツケーキとスパイスの香りが豊か。,,シェリー|バーボン,ストレート,0,4,4,2,3,0,4,3
elijah-craig-small-batch,エライジャクレイグ スモールバッチ,Elijah Craig Small Batch,ヘヴンヒル蒸溜所,heaven-hill,usa,kentucky,bourbon,,47.0,3500,2026-08,editorial,common,85,バーボン評論家から高評価を得続けるコスパの良い1本。,elijah-craig-small-batch,新樽,ストレート|ロック,0,4,3,3,4,0,4,4
elmer-t-lee,エルマー・T・リー,Elmer T. Lee Single Barrel,バッファロートレース蒸溜所,buffalo-trace,usa,kentucky,bourbon,,45,8000,2026-08,editorial,rare,85,バッファロートレースの伝説的人物に捧げる単一樽。バニラとトフィーの甘さ。,,新樽,ストレート,0,4,3,3,5,0,4,4
evan-williams-black,エヴァン・ウィリアムス ブラックラベル,Evan Williams Black Label,ヘヴンヒル蒸溜所,heaven-hill,usa,kentucky,bourbon,,43.0,1800,2026-08,editorial,common,80,価格を超えた品質と評されるスタンダードバーボン。,,新樽,ロック|ハイボール,0,4,2,2,3,0,3,3
famous-grouse-smoky-black,フェイマス グラウス スモーキーブラック,Famous Grouse Smoky Black,エドリントン,,scotland,highland,blended,,40.0,2000,2026-08,editorial,common,79,アイラモルトをブレンドし軽いスモーク香を加えたバリエーション。,,各種,ハイボール,3,3,3,1,2,2,2,2
famous-grouse,フェイマス グラウス,The Famous Grouse,エドリントン,,scotland,highland,blended,,40.0,1800,2026-08,editorial,common,79,スコットランドで最も飲まれているブレンデッドのひとつ。,,各種,ハイボール|ロック,1,3,3,1,2,1,2,2
four-roses-single-barrel,フォアローゼス シングルバレル,Four Roses Single Barrel,フォアローゼス蒸溜所,four-roses,usa,kentucky,bourbon,,50.0,4800,2026-08,editorial,limited,86,単一樽から瓶詰め。スパイシーで厚みのある味わい。,,新樽,ストレート|ロック,0,4,3,4,4,0,4,4
four-roses-small-batch,フォアローゼス スモールバッチ,Four Roses Small Batch,フォアローゼス蒸溜所,four-roses,usa,kentucky,bourbon,,45.0,4000,2026-08,editorial,common,84,4種のレシピを組み合わせたスモールバッチ。フローラルでまろやかな口当たり。,,新樽,ロック|ハイボール,0,4,4,3,3,0,3,3
four-roses-yellow,フォアローゼス イエローラベル,Four Roses Yellow Label,フォアローゼス蒸溜所,four-roses,usa,kentucky,bourbon,,40.0,2600,2026-08,editorial,common,81,10種類のレシピをブレンド。軽やかでフルーティなバーボン。,,新樽,ロック|ハイボール,0,4,3,2,3,0,3,3
fuji-sanroku,富士山麓 樽熟成50°,Fuji Sanroku,富士御殿場蒸溜所,fuji-gotemba,japan,japan,blended,,50,1800,2026-08,editorial,common,76,50度の力強い飲みごたえと樽由来のコク。価格を考えれば驚異的なコスパの国産ブレンド。,,アメリカンオーク,ハイボール|ロック,0,3,2,3,3,0,2,3
george-dickel-12,ジョージディッケル12年,George Dickel 12 Year Old,ジョージディッケル蒸溜所,george-dickel,usa,tennessee,tennessee,12,45,5000,2026-08,editorial,limited,85,低温でのチャコール濾過が特徴。クリーミーなバニラとココア、オーク。,,新樽,ストレート|ロック,0,4,3,3,5,0,4,4
glen-garioch-founder,グレンガリオ ファウンダーズ,Glen Garioch Founders Reserve,グレンガリオ蒸溜所,glen-garioch,scotland,highland,single-malt,,48,7000,2026-08,editorial,limited,83,エステティカルな造りの復活を記念したNAS。バターのような濃厚さと果実。,,バーボン|シェリー,ストレート,1,3,4,3,3,1,4,3
glen-grant-10,グレングラント10年,Glen Grant 10 Year Old,グレングラント蒸溜所,glen-grant,scotland,speyside,single-malt,10,40,4000,2026-08,editorial,common,81,ライトでクリーンな飲み口。青リンゴと花の香りで食事にも合う。,,バーボン|シェリー,ストレート|ハイボール,0,3,4,1,2,0,2,2
glen-moray-12,グレンモーレイ12年,Glen Moray 12 Year Old,グレンモーレイ蒸溜所,glen-moray,scotland,speyside,single-malt,12,40,4000,2026-08,editorial,common,81,バーボン樽熟成の素直な味わい。バニラと柑橘の清潔感。コスパ良好。,,バーボン,ハイボール|ストレート,0,3,3,2,3,0,2,3
glenallachie-12,グレンアラヒー12年,Glenallachie 12 Year Old,グレンアラヒー蒸溜所,glenallachie,scotland,speyside,single-malt,12,46,6200,2026-08,editorial,common,85,シェリー樽比率が高く濃厚。トフィーとオレンジ、スパイスの密度が高い。,,シェリー,ストレート,0,5,4,2,4,0,4,4
glenallachie-15,グレンアラヒー15年,Glenallachie 15 Year Old,グレンアラヒー蒸溜所,glenallachie,scotland,speyside,single-malt,15,46,11000,2026-08,editorial,limited,87,シェリー樽熟成の深い甘さ。ブラックチェリーとモカ、シナモンの複雑さ。,,シェリー|バーボン,ストレート,0,5,4,3,4,0,4,4
glencadam-10,グレンカダム10年,Glencadam 10 Year Old,グレンカダム蒸溜所,glencadam,scotland,highland,single-malt,10,46,5000,2026-08,editorial,common,82,バーボン樽熟成のクリーンなモルト。青リンゴの酸味とハーブの爽やかさ。,,バーボン,ストレート|ハイボール,0,3,4,2,3,0,3,3
glendronach-12,グレンドロナック12年,GlenDronach 12,グレンドロナック蒸溜所,glendronach,scotland,highland,single-malt,12,43.0,7000,2026-08,editorial,common,85,濃厚なシェリー樽熟成。チョコレートとドライフルーツの甘み。,,シェリー,ストレート,0,5,4,2,4,0,4,3
glendronach-15,グレンドロナック15年 リバイバル,GlenDronach 15 Revival,グレンドロナック蒸溜所,glendronach,scotland,highland,single-malt,15,46.0,16000,2026-08,editorial,limited,89,シェリー樽熟成の代表格。ブラックチェリーとダークチョコレート、深い果実の甘さ。,,シェリー,ストレート,0,5,5,3,4,0,5,5
glenfarclas-12,グレンファークラス12年,Glenfarclas 12,グレンファークラス蒸溜所,glenfarclas,scotland,speyside,single-malt,12,43.0,4500,2026-08,editorial,common,83,値ごろなシェリー樽モルトの定番。ドライフルーツと蜂蜜、穏やかな甘さ。,,シェリー,ストレート|ロック,0,4,4,2,3,0,3,3
glenfarclas-15,グレンファークラス15年,Glenfarclas 15 Year Old,グレンファークラス蒸溜所,glenfarclas,scotland,speyside,single-malt,15,46.0,9000,2026-08,editorial,limited,87,家族経営蒸留所の看板ボトル。ナッツとドライフルーツの厚み。,,シェリー,ストレート,0,4,4,2,4,0,4,4
glenfiddich-12,グレンフィディック12年,Glenfiddich 12 Year Old,グレンフィディック蒸溜所,glenfiddich,scotland,speyside,single-malt,12,40.0,3500,2026-08,editorial,common,83,洋梨と蜂蜜のわかりやすい甘み。シングルモルト入門の定番。,glenfiddich-12,アメリカンオーク|スパニッシュオーク,ストレート|ロック|ハイボール,0,3,4,1,3,0,2,2
glenfiddich-15,グレンフィディック15年 ソレラリザーブ,Glenfiddich 15 Solera,グレンフィディック蒸溜所,glenfiddich,scotland,speyside,single-malt,15,40.0,9500,2026-08,editorial,common,86,ソレラシステムで熟成した3種の樽のブレンド。蜂蜜とスパイス、滑らかな口当たり。,,アメリカンオーク|シェリー|ニューオーク,ストレート|ロック,0,4,4,3,4,0,4,4
glenfiddich-18,グレンフィディック18年,Glenfiddich 18 Year Old,グレンフィディック蒸溜所,glenfiddich,scotland,speyside,single-malt,18,40,12000,2026-08,editorial,limited,87,少量のオロロソシェリー樽を加えた18年。熟したリンゴとスパイスの複雑な余韻。,,アメリカンオーク|シェリー,ストレート,0,4,4,3,4,0,4,4
glengoyne-10,グレンゴイン10年,Glengoyne 10 Year Old,グレンゴイン蒸溜所,glengoyne,scotland,highland,single-malt,10,40,6000,2026-08,editorial,common,83,ゆっくり蒸溜されることで丸みを帯びた口当たり。バタースコッチと赤い果実の甘さ。,,バーボン|シェリー,ストレート|ロック,0,4,4,2,3,0,3,3
glengoyne-18,グレンゴイン18年,Glengoyne 18 Year Old,グレンゴイン蒸溜所,glengoyne,scotland,highland,single-malt,18,43,16000,2026-08,editorial,limited,88,ファーストフィルシェリー樽で熟成。干し柿やチョコレート、スパイスが深く溶け合う。,,シェリー,ストレート,0,5,4,3,4,0,4,4
glenkinchie-12,グレンキンチー12年,Glenkinchie 12,グレンキンチー蒸溜所,glenkinchie,scotland,lowland,single-malt,12,43.0,5500,2026-08,editorial,common,81,麦芽の甘みが前に出る、ローランドらしい端正な味わい。,,バーボン,ストレート|水割り,0,3,3,1,2,0,3,2
glenlivet-12,ザ・グレンリベット12年,The Glenlivet 12 Year Old,グレンリベット蒸溜所,glenlivet,scotland,speyside,single-malt,12,40.0,4000,2026-08,editorial,common,83,パイナップルを思わせる明るい果実感。スペイサイドの教科書的な1本。,,アメリカンオーク,ストレート|ロック,0,3,4,1,3,0,2,2
glenlivet-15,グレンリベット15年 フレンチオーク,The Glenlivet 15 French Oak Reserve,グレンリベット蒸溜所,glenlivet,scotland,speyside,single-malt,15,40,7000,2026-08,editorial,common,84,フレンチオーク樽仕上げによる独特のスパイスとジンジャーの香り。,,フレンチオーク,ストレート|ロック,0,4,4,3,3,0,3,3
glenlivet-18,グレンリベット18年,The Glenlivet 18 Year Old,グレンリベット蒸溜所,glenlivet,scotland,speyside,single-malt,18,43,14000,2026-08,editorial,limited,87,オーク樽との長い対話で生まれる芳醇さ。リンゴとバタースコッチの甘い香り。,,アメリカンオーク|シェリー,ストレート,0,4,4,3,4,0,4,4
glenlivet-founder-reserve,グレンリベット ファウンダーズリザーブ,Glenlivet Founder's Reserve,グレンリベット蒸溜所,glenlivet,scotland,speyside,single-malt,,40.0,3500,2026-08,editorial,common,80,創業200年を記念して造られた定番NAS。柑橘とバニラの爽やかな甘さで入門に最適。,,アメリカンオーク,ハイボール|ストレート,0,4,4,1,2,0,2,2
glenmorangie-10,グレンモーレンジィ オリジナル10年,Glenmorangie Original 10,グレンモーレンジィ蒸溜所,glenmorangie,scotland,highland,single-malt,10,40.0,4200,2026-08,editorial,common,84,背の高いポットスチルによる軽やかさ。柑橘とバニラが前に出る。,,アメリカンオーク,ストレート|ハイボール,0,3,4,1,3,0,3,2
